"FRIGORÍFICO SUPREMO, S.P.R. DE R.L.",1
"INTERNACIONAL DE CARNES CAMPECHE, S.P.R. DE R.L.",1
"GRUPO PENINSULAR GC., S. P. R. DE R. L",1
"PRODUCTORES DE CARNE DE ENGORDA, S.A. DE C.V.",1
"DEWIED INTERNACIONAL S.A. DE C.V.",1
"IMPULSORA DE BIENES ALAMEDA S.A. DE C.V.",1
"ALIMENTOS FINOS DEL NORTE, S. DE R.L. DE C.V.",1
"RASTRO MUNICIPAL DE TORREON",1
"EMPACADORA KACER S.A. DE C.V.",1
"INGRO DEL NORTE S.A. DE C.V.",1
"PRODUCTOS ALIMENTICIOS DE CIUDAD GRANJA S.A. DE C.V.",1
"MAQUILADOR Y EXPORTADOR DE CARNES, S. P. R DE R. L DE C. V",1
"ALIMENTOS CON IDEA S.A. DE C.V.",1
"COMERCIALIZADORA DE CARNES DEL NORTE Int., S.P.R DE R.L.",1
"EMPACADORA ALANIS, S.A. DE C.V.",1
" REVUELTA MONTECARLO, S. A. DE C. V",1
"CORRALES DE ENGORDA MIELERAS S. DE P. R. DE R. L",1
"AVEYMAS, S. A. DE C. V",1
"IFOOD MÉXICO, S. A. DE C. V.",1
"CARNES FINAS EL EDÉN LAGUNERO, S. A. DE C. V.",1
"EMPACADORA FRAPE, S. A. DE C. V",1
"MEAT ZONE ALIMENTOS, S. A. DE C. V",1
"FRIGORÍFICO DEL SURESTE, S.A. DE C.V",1
"BUENAVENTURA GRUPO PECUARIO S.A. DE C.V.
",1
"GRUPO AVIMARCA S.A. DE C.V",1
"OPERADORA Y CONSULTORA DE RASTROS PORCINOS, S.A. DE C.V",1
"N'ANGUS ALIMENTOS, S. A. DE C. V",1
"SIGMA ALIMENTOS NORESTE S.A. DE C.V",1
"EMPACADORA GANADERA DE CHIHUAHUA S.A. DE C.V.",1
"SABE ALIMENTOS S.A. DE C.V.",1
"INDUSTRIALIZADORA DE CÁRNICOS STRATTEGA, S. A. DE C. V",1
" EMPACADORA Y GANADERA DE CAMARGO, S.A. DE C.V.
",1
"AMERICAN BEEF, S.A. DE C.V.",1
"CARNE SECA DE RES CARA BLANCA S.A. DE C.V.",1
"RASTRO CUAUHTÉMOC",1
"PAVOS PARSON S.A. DE C.V.",1
"CORRALES DE SAN IGNACIO S.P.R. DE R.L. DE C.V.",1
"CARNES CHIHUAHUA S.A. DE C.V.",1
"CHIHUAHUA MEAT VISA QUALITY S.A. DE C.V.",1
"EMPACADORA CAMPO 24, S.A. DE C.V",1
"PROCESADORA RÍO SAN PEDRO S. DE R .L. DE C .V. ",1
"GRUPO FELDER FOODS, S. A DE C. V",1
"NUTRIBIF, S. A DE C. V",1
"UNIÓN GANADERA REGIONAL GENERAL DIVISIÓN DEL NORTE DEL ESTADO DE CHIHUAHUA",1
"CENTRAL COMERCIALIZADORA DE CARNES, S. A. DE C. V",1
"EMPACADORA SUPERIOR, S. A. DE C. V",1
"PILGRIM'S OPERACIONES LAGUNA S. DE R. L. DE C. V.",1
"PILGRIM'S OPERACIONES LAGUNA, S. DE R. L. DE C. V.",1
"ALIMENTOS AL-NOR, S. A. DE C. V",1
"MEAT LAND S.A. DE C.V.",1
"EMPACADORA FRAPE S.A. DE C.V.",1
"FRIOLALA S.A. DE C.V",1
"INTEGRADORA DE GANADEROS DE ENGORDA DE LA LAGUNA, S.A. DE C.V.",1
"UNIÓN GANADERA CIUDAD PECUARIA S. A DE C. V",1
"GANADERÍA Y RASTRO DE LA LAGUNA, S. A. DE C. V.",1
"CONSORCIO DE INDUSTRIAS Y ALIMENTOS, S.A. DE C.V.",1
"TERRA BUONA S.A. DE C.V",1
"EMPACADORA CINTA DE ORO, S.A. DE C.V.
",1
"ALMACENADORA ACCEL S.A., ORGANIZACIÓN AUXILIAR DEL CRÉDITO
",1
"SUPER CARNES SELECTAS, S. A DE C. V",1
"DISTRIBUIDORA DE PORCINOS S.A. DE C.V.",1
"INDUSTRIAS DE REFRIGERACION PLAFER S.A. DE C.V.
",1
"INDUSTRIAS DE REFRIGERACION PLAFER S.A. DE C.V.",1
"EMBUTIDOS ULZAMA S.A. DE C.V",1
"UNICA EMPACADORA WUNSCH S.A. DE C.V",1
"CAMPOFRIO S.A. DE C.V.",1
"DISTRIBUIDORA E IMPORTADORA ALSEA, S.A. DE C.V. ",1
"MARIA ALEJANDRA VIVEROS ALVARADO",1
"OPERADORA VIPS, S. DE R. L. DE C. V.",1
